('be58ef12-b276-4cc5-bc6d-60d1bbd1386b', 'Abarth', 'Абарт', 'Италия', false),
('41fcd016-d584-46c0-a956-d17099dd0d7c', 'Brilliance', 'Бриллианс', 'Китай', false),
('72fa5451-1f43-42b7-b187-aeaeb74d94eb', 'Bristol', 'Бристоль', 'Великобритания', false),
('6fa4ccd6-559f-4fe6-97d6-9e3540eea6a2', 'Bufori', 'Буфори', 'Малайзия', false),
('5a96071c-438c-465d-a359-256ea38d832e', 'Bugatti', 'Бугатти', 'Франция', false),
('964ec2c2-fe4f-48b2-9986-a87fd0c806f4', 'Buick', 'Бьюик', 'США', false),
('cc914fef-9b9a-42fe-b31c-647bd793a9bb', 'BYD', 'БИД', 'Китай', false),
('97f4dc1c-73b4-4ca6-b3dd-bd829c6c853f', 'Byvin', 'Бивин', 'Китай', false),
('9a9277d8-c854-44af-9a3a-6846d92d3eb7', 'Cadillac', 'Кадиллак', 'США', false),
('8d746e88-1853-4e8c-b657-415af47f5b6b', 'Callaway', 'Каллавей', 'США', false),
('1cb5fc2b-7547-479e-88f6-f8ca2df36927', 'Carbodies', 'Карбодис', 'Великобритания', false),
('59a06a73-6238-4d56-9381-a9859b8e23d9', 'Caterham', 'Катерхем', 'Великобритания', false),
('462fbb07-9171-484f-bd18-a8eb67fdedc9', 'Chana', 'Чана', 'Китай', false),
('8bf4e6d2-54e2-49ec-b78e-d1bc8fd69c8f', 'Changan', 'Чанган', 'Китай', false),
('77a4426a-88cb-433b-9a5b-2a80021cbfa3', 'Changfeng', 'Чанфэн', 'Китай', false),
('ab1dff39-33fa-402b-9d07-5eaa5c68b90c', 'Changhe', 'Чанхэ', 'Китай', false),
('8d2b6bfa-f74b-45a0-915c-92f1af92432a', 'Chery', 'Чери', 'Китай', true),
('3cdde877-1d3e-4a8d-8a37-6413a1a5cfe6', 'Exeed', 'Эксид', 'Китай', false),
('741e4d62-b2f0-4880-ac9a-011c5229be55', 'Chevrolet', 'Шевроле', 'США', true),
('c4abfc02-11c8-4f0b-aaa9-0bd455d46cd5', 'Chrysler', 'Крайслер', 'США', false),
('10e5e78b-d14b-489c-86e2-33380f3759d5', 'Ciimo (Dongfeng-Honda)', 'Циимо', 'Китай', false),
('dfb96c2d-04a2-40ff-8c1a-a9613bfc21ed', 'Citroen', 'Ситроен', 'Франция', true),
('9a283fc3-0b55-444d-a70e-fa0632e13742', 'Cizeta', 'Чизета', 'Италия', false),
('32d327ed-4e65-41d7-85b9-24d12a4f41dd', 'Coda', 'Кода', 'США', false),
('70b079d2-f014-40fb-9913-1a4a9ed4bb3e', 'Coggiola', 'Коджиола', 'Италия', false),
('0380d778-b892-4c85-b5de-cfb57e81f641', 'Cord', 'Корд', 'США', false),
('d4a29010-ea87-4680-a2f1-a446cacaffaf', 'Cowin', 'Ковин', 'Китай', false),
('0a803acb-57e7-4b62-9ecd-93a42f990537', 'Cupra', 'Купра', 'Испания', false),
('0a9253a5-30b4-4e0f-bbe1-544c146d59c3', 'Dacia', 'Дачия', 'Румыния', false),
('7fcfd9e2-5ad5-4e14-a2eb-cc0c928d2ed9', 'Dadi', 'Дади', 'Китай', false),
('80603e9c-3669-4612-8ea1-e1c6457e7a15', 'Daewoo', 'Дэу', 'Южная Корея', true),
('947d61bd-d41f-4498-980f-7ab32047067d', 'Daihatsu', 'Дайхатсу', 'Япония', false),
('11366457-ce84-44e6-a4f3-da76f5e9b7cd', 'Daimler', 'Даймлер', 'Великобритания', false),
('a2d134d8-064e-465a-aa9e-926bdb0c9756', 'Dallara', 'Даллара', 'Италия', false),
('a8d27af1-2deb-4191-a51f-ea311ac12212', 'Datsun', 'Датсун', 'Япония', false),
('745167c3-5167-449f-a189-cf204050b5bb', 'Dayun', 'Даюн', 'Китай', false),
('bce04a54-de96-4c49-bcad-14348e09a0d8', 'Deco Rides', 'Деко Райдс', 'США', false),
('419e432d-7930-4f92-ad4a-cc8ce1b26448', 'Delage', 'Делаж', 'Франция', false),
('a072d3a8-7ba7-4e90-b793-85a020c66b9b', 'DeLorean', 'ДеЛориан', 'США', false),
('457030c5-cb5d-485c-b2c5-2a6e6ec27de3', 'Denza', 'Денза', 'Китай', false),
('94301cdf-6ee6-4b8b-b731-dd8bf54c2ebb', 'Derways', 'Дервейс', 'Россия', false),
('6e206c98-5b88-4220-8399-5b769d886506', 'DeSoto', 'Десото', 'США', false),
('f15e77a8-e433-4ee1-853f-33855dee681e', 'De Tomaso', 'Де Томазо', 'Италия', false),
('e5582187-5fa4-4348-8822-567e2b1352e6', 'DKW', 'ДКВ', 'Германия', false),
('e0c6023c-e7ee-492b-9d6a-0d500b07dd6e', 'Dodge', 'Додж', 'США', false),
('ff24349b-9ed2-4e80-a782-b82abcbd2853', 'Dongfeng', 'ДонгФенг', 'Китай', false),
('fa9d87d5-d093-4cfb-815c-964b994e0936', 'Doninvest', 'Донинвест', 'Россия', false),
('0d4eca73-1b5c-41c0-8522-7d48a83a0209', 'Donkervoort', 'Донкервурт', 'Нидерланды', false),
('f22cca5d-2663-4b26-979a-7781f0396c89', 'DR', 'Дэ Эр', 'Италия', false),
('c7091714-b093-41e2-880b-d5597c96dfc0', 'DS', 'ДС', 'Франция', false),
('35a73b97-4835-40de-96a5-42a9acf1d1cd', 'DW Hower', 'ДВ Ховер', 'Россия', false),
('0ccb57da-d0cc-4f2b-bd8e-dcf5a32e6ae6', 'Eagle', 'Игл', 'США', false),
('9006ccac-f9e5-452e-b84c-85acf6a32757', 'Eagle Cars', 'Игл Карс', 'Великобритания', false),
('acc6e32c-ce5a-41ed-8926-d87a1fc4e0c4', 'Enovate (Enoreve)', 'Эновате', 'Китай', false),
('13a38867-2b4e-4478-910d-4d9650823df6', 'Eonyx', 'Ионикс', 'Россия', false),
('714e2d04-454a-495a-9f1d-a0dceb62cd3e', 'Everus', 'Эверус', 'Китай', false),
('23f5687f-d4c4-4d4c-89f1-083c140eeb8b', 'Evolute', 'Эволют', 'Россия', false),
('74f13bea-b49b-4a3c-8801-b8b4b97f1cbc', 'Excalibur', 'Экскалибур', 'США', false),
('b7195666-c54f-4606-b16a-82616226b31c', 'E-Car', 'Е-Кар', 'Китай', false),
('c8b00f82-e513-4d24-81ea-00bec72770c4', 'Ё-мобиль', 'Ё-мобиль', 'Россия', false),
('1c93ca35-dfae-48ea-9d25-bd238025051f', 'Facel Vega', 'Фэйсл Вега', 'Франция', false),
('be572961-0091-4b75-a0c6-c299d67e7e57', 'FAW', 'ФАВ', 'Китай', false),
('5b59d67e-bc5e-4b81-a0ab-6dcfc817f60b', 'Ferrari', 'Феррари', 'Италия', false),
('32c49378-2434-43ef-8983-958561f07a25', 'Fiat', 'Фиат', 'Италия', false),
('8b2e3f9e-3ac1-4e3b-989e-ef4cd3443255', 'Fisker', 'Фискер', 'США', false),
('895f4e55-eef9-4538-9c09-de91d266a4f6', 'Flanker', 'Фланкер', 'Россия', false),
('a6bcd278-5ec9-4969-94ee-3d28cfee5505', 'Ford', 'Форд', 'США', true),
('e998744f-656d-4259-9e2b-95328268b9ef', 'Forthing', 'Форфинг', 'Китай', false),
('ae0b314c-ca2a-452c-b874-e260eb76b7f0', 'Foton', 'Фотон', 'Китай', false),
('26f1bd5c-70d0-4cbc-b147-7ec7a1daa255', 'Franklin', 'Франклин', 'США', false),
('fa09e29b-c820-4e49-894f-b3228b42667f', 'FSO', 'ФСО', 'Польша', false),
('f047dbdc-9a60-4250-bebf-cce775ed4000', 'FSR', 'ФСР', 'Польша', false),
('d6bbe02b-214d-4eb7-bfea-a7ebabeb47cf', 'Fuqi', 'Фучи', 'Китай', false),
('1fa696c2-6df7-40b4-90e4-1e5df4edce38', 'GAC', 'ГАК', 'Китай', false),
('c3817d0b-c643-421d-90ed-12678d4806ae', 'ГАЗ', 'ГАЗ', 'Россия', true),
('b0ca1f3a-a8f2-422f-8fcd-124a0e337071', 'Geely', 'Джили', 'Китай', true),
('f3efd028-4595-45ef-b9fb-317eeadc3845', 'Genesis', 'Генезис', 'Южная Корея', false),
('9605bfee-fccb-4c02-982c-5f7aaeaec884', 'Geo', 'Гео', 'США', false),
('5729d680-010f-4753-a258-1528352c5a5b', 'GMA', 'Джи-Эм-Эй', 'Великобритания', false),
('6d898565-fd15-4b84-8f44-e1462d80da12', 'GMC', 'Джи-Эм-Си', 'США', false),
('700b8f9f-e60d-4dc7-9075-e240a02c796d', 'Goggomobil', 'Гоггомобил', 'Германия', false),
('6f164828-f85b-41b6-8eda-06298c99e518', 'Gonow', 'Гонов', 'Китай', false),
('61b1039a-76a3-4378-a2c5-4909639a3c9b', 'Gordon', 'Гордон', 'Чехия', false),
('67c957b0-ed26-4d1c-bc82-f2f550e04eb8', 'GP', 'ГП', 'Великобритания', false),
('a3b769b6-4086-4e3b-a6a2-e777aa3e7bb7', 'Great Wall', 'Грейт Вол', 'Китай', false),
('ebabfd3f-e242-4b89-b70b-3e418dea0719', 'Hafei', 'Хафэй', 'Китай', false),
('8c00057c-7db1-4a5a-b7d9-a09ac13d09d0', 'Haima', 'Хайма', 'Китай', false),
('3244d6a1-ffa2-4b8e-baf3-ea8153857f79', 'Hanomag', 'Ханомаг', 'Германия', false),
('91f50113-f357-4070-9c12-317ee1631c89', 'Hanteng', 'Хантенг', 'Китай', false),
('fa6b9739-fc95-4551-85b5-366c4d3f494a', 'Haval', 'Хавэйл', 'Китай', true),
('baa2d136-49ad-469d-93bc-6318028dbf80', 'Hawtai', 'Хаутай', 'Китай', false),
('e4081dcb-37e8-4e17-9b23-5973c634bead', 'Hedmos', 'Хэдмос', 'Китай', false),
('85075aed-e336-4c9d-af3b-1237478dbb0a', 'Heinkel', 'Хейнкель', 'Германия', false),
('766fcfa2-cb1f-4486-a773-8b2fbcf72d79', 'Hennessey', 'Хеннесси', 'США', false),
('b09c6ac2-4364-42de-ae38-1bbd1e721e3b', 'Hindustan', 'Хиндустан', 'Индия', false),
('7959368f-5d3f-4c07-8eee-9076e792fe34', 'HiPhi', 'Хипхи', 'Китай', false),
('38bf372c-4cf4-4866-b759-0265faeb0b6d', 'Hispano-Suiza', 'Испано-Сюиза', 'Испания', false),
('00c8cd1b-20f7-47db-a8b5-65afeeb11b8d', 'Holden', 'Холден', 'Австралия', false),
('4d256471-81bc-4572-988b-2d5aa2e056c3', 'Honda', 'Хонда', 'Япония', true),
('eadaba2e-0b77-4392-a3cf-c9084f1cf385', 'Hongqi', 'Хончи', 'Китай', false),
('2d51dcd3-df37-4056-b582-13d11f8037da', 'Horch', 'Хорьх', 'Германия', false),
('1874e8ed-7a06-424b-9f8d-96eb9d32bf5d', 'Hozon', 'Хозон', 'Китай', false),
('ace15e2d-6a92-4853-99b7-e91a5f05ffc3', 'HSV', 'ХСВ', 'Австралия', false),
('f162e4d8-f7c2-4460-bce6-468451515c7c', 'Huaihai (Hoann)', 'Хуайхай (Хоанн)', 'Китай', false),
('c9a3c800-b218-4e5c-89f1-a316e4dc73ce', 'HuangHai', 'ХуангХай', 'Китай', false),
('3e533e8c-1610-4c03-b605-506402ac578e', 'Huazi', 'Хуацзы', 'Китай', false),
('dd557f50-a82e-4f6b-8226-bc9e79308d08', 'Hudson', 'Хадсон', 'США', false),
('a20a4cf9-8a3d-4088-8b5e-d470922e6a06', 'Humber', 'Хамбер', 'Великобритания', false),
('239be217-8000-43a1-a359-ce3b309756a2', 'Hummer', 'Хаммер', 'США', false),
('6caf2e3e-1d08-489f-91aa-e40ab598bcd8', 'Hycan', 'Хикан', 'Китай', false),
('41c96f19-128d-459a-847d-a1b0f3896ba1', 'Hyperion', 'Гиперион', 'США', false),
('909d8183-d7e6-4c02-963b-f008e327a308', 'Hyundai', 'Хендэ', 'Южная Корея', true),
('ee982a92-af8f-4ca5-b560-ac72f9ab4bd5', 'iCar', 'ИКар', 'Китай', false),
('1caa9bf5-20c6-4cc4-8012-c18f14f454ea', 'Иж', 'ИЖ', 'Россия', false),
('4758a340-ff09-4e7c-86e1-970c339c764d', 'IM Motors (Zhiji)', 'Им Моторс', 'Китай', false),
('680a24f4-1a94-4988-b678-f6200734f382', 'Ineos', 'Инеос', 'Великобритания', false),
('3f7139e2-c4f0-4ab9-8039-43b2b6c409ad', 'Infiniti', 'Инфинити', 'Япония', false),
('3df3c88e-138a-4212-9ed5-ebd1365bde82', 'Innocenti', 'Инноченти', 'Италия', false),
('0b918f38-6fb0-4dec-8771-18315da4faf3', 'International Harvester', 'Интернейшионал Харвестер', 'США', false),
('593b54ac-f2b3-4bf7-8575-20c224effb37', 'Invicta', 'Инвикта', 'Великобритания', false),
('f681fd8a-3642-4b94-80b8-68d6cf9097f3', 'Iran Khodro', 'Иран Ходро', 'Иран', false),
('34e618b5-41af-4db5-a32e-733ae38fefdb', 'Isdera', 'Исдера', 'Германия', false),
('1bddb299-00cd-460f-b85c-f9e1c89fcda0', 'Isuzu', 'Исузу', 'Япония', false),
('aec198c7-2d29-4917-8799-d4c733771a3f', 'Iveco', 'Ивеко', 'Италия', false),
('e63e690e-e819-4324-951a-84f1ba5e1719', 'JAC', 'Джак', 'Китай', false),
('f7c07076-c79a-4b9c-ad74-9bfb26b6ea04', 'Jaecoo', 'Джейку', 'Китай', false),
('8c402093-57f5-4864-a6f6-35eff654adad', 'Jaguar', 'Ягуар', 'Великобритания', false),
('5752b24f-92be-4fb7-94e3-549f49fb6c10', 'Jeep', 'Джип', 'США', false),
('62fb9d40-29cc-41d4-b44c-da3f0d5820c3', 'Jensen', 'Дженсен', 'Великобритания', false),
('f1070cd4-9749-473f-90ce-5fa6d881f7d0', 'JETOUR', 'Джитур', 'Китай', false),
('b5650c41-68e6-4cc3-bfa6-761b6bb2b3a9', 'Jetta', 'Джетта', 'Китай', false),
('ade01174-7688-464e-8939-38b9e262fefc', 'Jiangnan', 'Цзяннань', 'Китай', false),
('c34f1d71-e7e4-4067-ad0a-ef14ba99ddf4', 'Jidu', 'Джиду', 'Китай', false),
('3ff92e3e-bf56-4c88-8f4d-75cdb6476e59', 'Jinbei', 'Джинбей', 'Китай', false),
('2b0e169e-f4a9-480f-9fcc-dd0c83998fda', 'JMC', 'Джей Эм Си', 'Китай', false),
('6a2eab1e-8a01-4219-89c7-89d378a5256d', 'JMEV', 'Джмев', 'Китай', false),
('3b238188-9943-49b9-8e8a-d7ce91a32dc7', 'Jonway', 'Джонвэй', 'Китай', false),
('4923a9e8-0c8d-4c87-a570-68b82634ef37', 'Kaiyi', 'Каи', 'Китай', false),
('3d79d9ec-b45a-46de-b373-59f74a798981', 'Канонир', 'Канонир', 'Россия', false),
('456f2273-dfe7-464d-9836-689df0b76cd7', 'Karma', 'Карма', 'США', false),
('84d3f966-94b5-4bce-ba1b-d84e1b7e322d', 'Kawei', 'Кавэй', 'Китай', false),
('7c938b35-1c83-4b81-858e-305a1cc5cc3b', 'KGM', 'Кей-Джи-Эм', 'Южная Корея', false),
('5de6f82d-90b7-4ef3-ab14-5892c2818202', 'Kia', 'Киа', 'Южная Корея', true),
('8665aa10-7899-4e5a-b0cf-78d6fdd077fe', 'Knewstar', 'Ньюстар', 'Китай', false),
('bd863fb6-fb7d-4960-9330-ede29263c0b5', 'Koenigsegg', 'Кёнигсегг', 'Швеция', false),
('254246f2-4588-4430-832f-c772b9c0fab2', 'Комбат', 'Комбат', 'Россия', false),
('a7f140d6-7661-4e72-915e-0f0d63c1fd73', 'KTM AG', 'КТМ АГ', 'Австрия', false),
('6dbee608-a678-4626-a950-06a4ac64b13b', 'KYC', 'КУС', 'Китай', false),
('bdc953c0-048e-435c-b0b9-6bd5e6290194', 'Lamborghini', 'Ламборгини', 'Италия', false),
('624277ae-79c7-4c1e-bdde-3d03c8194f81', 'Lancia', 'Лянча', 'Италия', false),
('d90ca42a-bc46-4711-ae36-aadd2037b736', 'Landwind', 'Лендвинд', 'Китай', false),
('09aade03-7b4a-48e2-ad4a-d15a1a364e45', 'Land Rover', 'Ленд Ровер', 'Великобритания', true),
('a556d101-a3c2-4f40-aa2c-dbb69db13173', 'Leapmotor', 'Липмотор', 'Китай', false),
('a8d8a6cf-f562-47a4-a513-3f0035a30820', 'Letin', 'Летин', 'Китай', false),
('c651b5e3-5d19-484b-a464-1c18c8275c25', 'LEVC', 'ЛЕВК', 'Великобритания', false),
('2b21362d-bb49-48fa-8305-431f2bb8871f', 'Lexus', 'Лексус', 'Япония', true),
('26c63301-1874-4503-8a53-04bbe471fa95', 'Liebao Motor', 'Лиебао Мотор', 'Китай', false),
('656fd72e-13c1-473a-abd3-d8a9a7e661a7', 'Lifan', 'Лифан', 'Китай', false),
('7011fb15-b307-4c70-8ef9-2cd58c4b628e', 'Ligier', 'Лижье', 'Франция', false),
('f9e8caf9-470e-4b17-a942-94bf6e6fa963', 'Lincoln', 'Линкольн', 'США', false),
('50677bc0-f523-4e6c-a808-683b55b970e2', 'Lingxi', 'Лингкси', 'Китай', false),
('42eb3c02-71ae-431f-a4ee-af147b778e3c', 'Livan', 'Ливан', 'Китай', false),
('9995aee8-5501-4b05-87ee-2821d396b525', 'Lixiang', 'Лисян', 'Китай', false),
('bb9c6093-c2ad-4a25-9454-de15c5238eca', 'Logem', 'Логем', 'Китай', false),
('5f99dab4-af1d-4833-b932-6b0089d9a9da', 'Lotus', 'Лотус', 'Великобритания', false),
('06ee4478-1e26-47ca-a4b8-6d46f9772d14', 'LTI', 'ЛТИ', 'Великобритания', false),
('ca3194b2-6d4a-49b5-968f-1a45e0e9c008', 'ЛуАЗ', 'ЛУАЗ', 'Украина', false),
('02fccad5-7ac4-441c-841a-13803f0d456a', 'Lucid', 'Люсид', 'США', false),
('a51520c7-c936-4569-a1b1-4395f47d6cd8', 'Luxeed', 'Люксид', 'Китай', false),
('e4d1481a-6a6d-42ec-8113-8c7e68224588', 'Luxgen', 'Люксген', 'Тайвань', false),
('bf4853fe-91ea-4f89-b82b-bf9773739a1a', 'Lynk & Co', 'Линк и ко', 'Китай', false),
('b1c1ee9f-c2a4-4538-88fe-20fd3e37a7c8', 'Maextro', 'Маэкстро', 'Китай', false),
('9730f36f-930c-4257-81d2-d191aa283dba', 'Mahindra', 'Махиндра', 'Индия', false),
('8df5b7eb-b17b-4a4c-ab9e-4150c59abdd0', 'Maple', 'Мэйпл', 'Китай', false),
('a7f19d09-4bcd-4ca6-abb1-9eb682cf9a0d', 'Marcos', 'Маркос', 'Великобритания', false),
('08fa0f34-58b4-4e0c-b015-311409c37ed8', 'Marlin', 'Марлин', 'Великобритания', false),
('d605ba7f-35ed-4333-a4fb-0f62710c3e66', 'Marussia', 'Маруся', 'Россия', false),
('ff6a7094-b3f3-44c0-89ba-faf04129bae0', 'Maruti', 'Марути', 'Индия', false),
('304824cb-738d-4029-9dcb-54337f3c5a59', 'Maserati', 'Мазерати', 'Италия', false),
('0aaf6b4a-339c-428a-99ce-69314a003af2', 'Matra', 'Матра', 'Франция', false),
('97f7a437-d52b-4b42-80f0-23c06d3f93b4', 'Maxus', 'Максус', 'Китай', false),
('b18c613f-6a97-42ce-818c-5b4c9623ed7b', 'Maybach', 'Майбах', 'Германия', false),
('3dea9f9e-bc43-4741-b7cd-30548b091a04', 'Mazda', 'Мазда', 'Япония', true),
('52470b6e-9fb8-455a-8ebf-3be86bde44aa', 'McLaren', 'МакЛарен', 'Великобритания', false),
('5c305a58-7c4d-456d-9983-97dbf301a95d', 'Mega', 'Мега', 'Франция', false),
('012892fb-bb75-4ba0-9c89-62250cd902e2', 'Mercedes-Benz', 'Мерседес-Бенц', 'Германия', true),
('80b66c04-b8fb-47c8-87b2-9fefd449f697', 'Mercury', 'Меркури', 'США', false),
('58d337c0-33af-408f-9b1b-9582e93c6f8f', 'Merkur', 'Меркур', 'США', false),
('069dd74e-81e1-4ec3-80c6-da2e254ba0ab', 'Messerschmitt', 'Мессершмитт', 'Германия', false),
('1c7d8269-a5c8-40fc-b473-ee9ceb823058', 'Metrocab', 'Метрокэб', 'Великобритания', false),
('55333720-3897-4bb1-a6ef-e6d22032b903', 'MG', 'Эм-Джи', 'Великобритания', false),
('fb43934c-f1cd-4ada-aa54-bc7ec5909106', 'Micro', 'Микро', 'Швейцария', false),
('c98f24da-1b26-4396-8126-9bcf974a663c', 'Microcar', 'Микрокар', 'Франция', false),
('cb2cd192-c4d4-406e-90a1-6e5031c2bcb7', 'Minelli', 'Минелли', 'Швейцария', false),
('0a6cc4ed-bbe8-4861-adfe-a0b763748c24', 'Mini', 'Мини', 'Великобритания', false),
('f0aa1514-4e2c-4e76-810d-3d79f123e1a8', 'Mitsubishi', 'Митсубиси', 'Япония', true),
('b8947dd6-b48b-47c4-bd09-2b4e5f60d466', 'Mitsuoka', 'Мицуока', 'Япония', false),
('6e45ae2d-656a-4774-bb13-1e4ca357bd56', 'Mobilize', 'Мобилайз', 'Франция', false),
('1b61a3bd-c5d5-4e94-8e27-55ae89b147b9', 'Morgan', 'Морган', 'Великобритания', false),
('cd1895e6-6b8e-4c6f-8fa1-80a60da80c9c', 'Morris', 'Моррис', 'Великобритания', false),
('259469c6-bf9c-4f80-ba47-70e36d8b4fca', 'Москвич', 'Москвич', 'Россия', false),
('cf467187-4dcf-424e-8c63-56531bc9e4d5', 'M-Hero', 'М-Хиро', 'Китай', false),
('dbd7a5b3-c608-4ed5-946d-547fb8b0b7eb', 'Nash', 'Нэш', 'США', false),
('0233faef-5bb5-455d-8bdb-7954329df19d', 'Nevo', 'Нево', 'Китай', false),
('45d8a147-182c-488a-b040-bc952ec968bf', 'Nio', 'Нио', 'Китай', false),
('082d2bce-c3df-439e-b71e-c4f4bab096bf', 'Nissan', 'Ниссан', 'Япония', true),
('2836f722-8abc-48fc-9f14-c41f790b92cb', 'Noble', 'Нобл', 'Великобритания', false),
('8e03ae8d-3bcd-4145-95ab-0594bdc49095', 'Nordcross', 'Нордкросс', 'Китай', false),
('7a39ac34-7e12-4e37-aae4-1ad8736cece0', 'Oldsmobile', 'Олдсмобиль', 'США', false),
('3870646c-65b9-41da-a192-57ccf9e924ba', 'Omoda', 'Омода', 'Китай', false),
('d078b5ea-799c-4739-99a2-e529a4a3c952', 'Opel', 'Опель', 'Германия', true),
('3a3279f2-93cf-4d4c-a2d9-4acde3b7123b', 'Ora', 'Ора', 'Китай', false),
('3d97c541-ca49-4b9b-83ad-81b853d81713', 'Osca', 'Оска', 'Италия', false),
('fb4aa233-b26a-4589-86d8-7f732c9b39bd', 'Oshan', 'Ошан', 'Китай', false),
('8df4fb79-7485-44e1-b1ba-1c779e9c25b7', 'Oting', 'Отинг', 'Китай', false),
('7e8c915a-4e0a-48cd-9b57-0d30e4a2c13a', 'Overland', 'Оверлэнд', 'США', false),
